epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0592,1.70646,3.01935,1.23115,0.52396,0.32216,0.19775,0.11798,1.43275,2.19468,1.22544,0.000331461,0.000331461,0.000331461
2,84.6437,1.42769,1.93384,1.10713,0.44541,0.43929,0.36644,0.22817,1.29913,1.89503,1.14599,0.000620918,0.000620918,0.000620918
3,124.378,1.30495,1.71076,1.0705,0.51439,0.49879,0.47822,0.29977,1.28459,1.82595,1.18357,0.000866375,0.000866375,0.000866375
4,165.351,1.23247,1.57833,1.04415,0.61912,0.50385,0.57061,0.38491,1.15033,1.63494,1.10879,0.000802,0.000802,0.000802
5,207.464,1.17849,1.48188,1.03977,0.64791,0.57156,0.64282,0.43529,1.10798,1.46848,1.10689,0.000736,0.000736,0.000736
6,275.719,1.12646,1.45855,1.02433,0.55653,0.60881,0.62226,0.41612,1.18975,1.62933,1.15831,0.00067,0.00067,0.00067
7,315.988,1.09584,1.34589,1.01632,0.64366,0.64813,0.699,0.48067,1.12764,1.43068,1.12464,0.000604,0.000604,0.000604
8,355.341,1.0543,1.27922,1.00472,0.69193,0.70291,0.72742,0.50213,1.09262,1.34604,1.10263,0.000538,0.000538,0.000538
9,393.449,1.03771,1.23208,0.99122,0.73705,0.67264,0.74368,0.51331,1.07563,1.34689,1.09677,0.000472,0.000472,0.000472
10,431.787,1.00781,1.16803,0.98201,0.7191,0.70284,0.75712,0.52725,1.041,1.30741,1.07805,0.000406,0.000406,0.000406
11,469.55,0.99407,1.14052,0.97524,0.77168,0.68315,0.7721,0.54698,1.03874,1.26856,1.07774,0.00034,0.00034,0.00034
12,508.673,0.96589,1.09483,0.96716,0.74043,0.71636,0.78112,0.54687,1.0105,1.20564,1.05669,0.000274,0.000274,0.000274
13,547.236,0.9553,1.08252,0.96091,0.75528,0.72746,0.78897,0.55766,0.99531,1.1955,1.0584,0.000208,0.000208,0.000208
14,585.444,0.93558,1.04126,0.95555,0.76691,0.73393,0.79263,0.56791,0.99922,1.17079,1.06418,0.000142,0.000142,0.000142
15,622.843,0.91611,1.00477,0.95198,0.7967,0.71863,0.80747,0.58211,0.9697,1.14621,1.04288,7.6e-05,7.6e-05,7.6e-05
